,GCF_000956175.1_ASM95617v1,GCF_013407145.1_ASM1340714v1,GCF_000018465.1_ASM1846v1,GCF_013407165.1_ASM1340716v1,GCF_000875775.1_ASM87577v1,GCF_000007225.1_ASM722v1,GCF_000016385.1_ASM1638v1,GCF_000015805.1_ASM1580v1,GCF_000234805.1_ASM23480v1,GCF_000019805.1_ASM1980v1,GCF_900095295.1_MCBB,GCF_001458655.1_Mb9,GCF_000191585.1_ASM19158v1,GCF_000214725.1_ASM21472v1,GCF_002813695.1_ASM281369v1,GCF_000739065.1_ASM73906v1,GCF_000023985.1_ASM2398v1,GCF_000092305.1_ASM9230v1,GCF_000091665.1_ASM9166v1,GCF_000024625.1_ASM2462v1,GCF_000023965.1_ASM2396v1,GCF_000011085.1_ASM1108v1,GCF_018200015.1_ASM1820001v1,GCF_002844335.1_ASM284433v1,GCF_000007185.1_ASM718v1,GCF_000007065.1_ASM706v1,GCF_000969885.1_ASM96988v1,GCF_000969905.1_ASM96990v1,GCF_001304615.2_ASM130461v2,GCF_000970265.1_ASM97026v1,GCF_000195935.2_ASM19593v2,GCF_008245085.1_ASM824508v1,GCF_000011105.1_ASM1110v1,GCF_001577775.1_ASM157777v1,GCF_000215995.1_ASM21599v1,GCF_000800805.1_ASM80080v1,GCF_900090055.1_C.divulgatum_PM4,GCF_000152265.2_ASM15226v2,GCF_000008265.1_ASM826v1,GCF_000195915.1_ASM19591v1,GCF_000582535.1_ASM58253v1,GCF_000281235.1_ASM28123v1,GCF_018024475.1_ASM1802447v1,GCF_000026205.1_ASM2620v1,GCF_003640545.1_ASM364054v1,GCF_000734035.1_ASM73403v1,GCF_000025285.1_ASM2528v1,GCF_000385565.1_ASM38556v1,GCF_000194625.1_ASM19462v1,GCF_000025505.1_ASM2550v1,Genes,Z-DNAs,Z-DNAs_in_promoter,Genes_with_Z-DNAs_in_promoter,Max_zh-score,Average_zh-score,functions
0,WP_048116222.1,WP_179360025.1,WP_012215183.1,WP_179361915.1,WP_148703441.1,WP_011009167.1,WP_011901139.1,WP_011850460.1,WP_011009167.1,WP_012350938.1,WP_071907039.1,WP_048071996.1,WP_013644387.1,WP_013825975.1,WP_100906034.1,WP_048202318.1,WP_015791242.1,WP_013100041.1,WP_010869966.1,WP_012819632.1,WP_015762794.1,WP_004516961.1,WP_004516961.1,WP_004516961.1,WP_011019586.1,WP_011034065.1,WP_048167013.1,WP_048118652.1,WP_054299439.1,WP_048127625.1,WP_010867453.1,WP_011012955.1,WP_010885830.1,WP_014734786.1,WP_013904915.1,WP_048112661.1,WP_021790155.1,WP_009887174.1,WP_011177451.1,WP_010901668.1,WP_025208797.1,WP_014858662.1,WP_210954836.1,WP_012504497.1,WP_121463682.1,WP_010879408.1,WP_012940736.1,WP_015589753.1,WP_013683650.1,WP_012965648.1,50,19,8,8,9492.083,1791.161336842105,50S ribosomal protein L14
1,WP_048115825.1,WP_179360320.1,WP_012215503.1,WP_179362208.1,WP_148703072.1,WP_011008078.1,WP_011901445.1,WP_011849286.1,WP_014287305.1,WP_012350036.1,WP_071907822.1,WP_060538093.1,WP_013643757.1,WP_013826835.1,WP_100909436.1,WP_048202231.1,WP_015791391.1,WP_013100066.1,WP_010870461.1,WP_015733576.1,WP_015762028.1,WP_011224343.1,WP_004959769.1,WP_101351330.1,*,WP_011034868.1,WP_048166660.1,WP_048121135.1,WP_054297943.1,WP_048125270.1,WP_010868042.1,WP_011012235.1,WP_010885154.1,WP_068322099.1,WP_013905304.1,WP_048111607.1,WP_077076342.1,WP_019841482.1,WP_011177212.1,WP_048161849.1,WP_128571627.1,WP_014858210.1,WP_246454205.1,WP_012504401.1,WP_236628344.1,WP_048095225.1,WP_012939767.1,WP_048098108.1,WP_013682777.1,WP_012966098.1,49,55,5,5,4576.539,1452.6816109090912,isoleucine--tRNA ligase
2,WP_048116463.1,WP_179360159.1,WP_012215078.1,WP_179362043.1,WP_148703546.1,WP_011008085.1,WP_011901441.1,WP_193322860.1,WP_014287309.1,WP_012350040.1,WP_071906296.1,WP_048085628.1,WP_048186449.1,WP_013825046.1,WP_100909656.1,WP_048201600.1,WP_015791930.1,WP_013100414.1,WP_010870950.1,WP_015732977.1,WP_012807954.1,WP_004958425.1,WP_004958425.1,WP_101350929.1,WP_011018591.1,WP_011032655.1,WP_048168041.1,WP_048121380.1,WP_054299111.1,WP_048124698.1,WP_010868433.1,WP_011012255.1,WP_048053208.1,WP_068320923.1,WP_013905050.1,WP_052399217.1,WP_021789302.1,WP_009886746.1,WP_011177244.1,WP_010901826.1,*,*,*,*,*,WP_010878902.1,WP_012939776.1,WP_015591363.1,WP_013683907.1,WP_012966323.1,45,13,5,5,4545.701,1334.1857846153848,RNA-binding protein
3,WP_048115305.1,WP_179360501.1,WP_012215777.1,WP_179362386.1,WP_237087664.1,WP_011008087.1,WP_011901439.1,WP_011849280.1,WP_014287311.1,WP_012350042.1,WP_071907607.1,WP_048085013.1,WP_013643937.1,WP_144011646.1,WP_169032831.1,WP_048202232.1,WP_015791389.1,WP_013100774.1,WP_010870460.1,WP_012819814.1,WP_015761692.1,WP_011224430.1,WP_004960149.1,WP_101348884.1,WP_011018526.1,WP_011034445.1,WP_048166552.1,WP_048119662.1,WP_054298185.1,WP_048124923.1,WP_048146544.1,WP_014835547.1,WP_048053487.1,WP_068323094.1,WP_013904859.1,WP_048112177.1,WP_241810791.1,WP_009886531.1,WP_011177021.1,WP_010901408.1,*,*,*,*,*,WP_048095321.1,WP_012939624.1,WP_236609666.1,WP_013683277.1,WP_012965806.1,45,33,7,7,8323.257,1513.923612121212,tRNA (guanine(26)-N(2))-dimethyltransferase
4,WP_192828330.1,WP_179360826.1,WP_148680262.1,WP_179362718.1,WP_148702465.1,WP_011008088.1,WP_011901438.1,WP_011849279.1,WP_014287312.1,WP_012350043.1,WP_071906775.1,WP_048085248.1,WP_013644758.1,WP_013825567.1,WP_100908913.1,WP_048201292.1,WP_015791158.1,WP_013099978.1,WP_010870916.1,WP_012819824.1,WP_049940753.1,WP_011224638.1,WP_004964567.1,WP_101349139.1,WP_011018770.1,WP_011033259.1,WP_048167587.1,WP_048116573.1,WP_054299005.1,WP_048123933.1,WP_048146776.1,WP_011012438.1,WP_010885094.1,WP_068322062.1,WP_013905666.1,WP_048112317.1,WP_083705326.1,WP_009887347.1,WP_052266646.1,WP_048162231.1,*,*,*,*,*,WP_048096581.1,WP_012939742.1,WP_015590683.1,WP_013684669.1,WP_012965802.1,45,7,3,3,2492.419,1082.8080000000002,flagellar hook-basal body complex protein FliE
5,WP_048115255.1,WP_179360521.1,WP_012215798.1,WP_179362405.1,WP_148703981.1,WP_011008092.1,WP_011901435.1,WP_011849276.1,WP_014287314.1,WP_012350046.1,*,*,*,*,*,WP_048201907.1,WP_015791799.1,WP_013099570.1,WP_010870545.1,WP_012819710.1,WP_015761924.1,WP_004960022.1,WP_004960022.1,WP_101348847.1,*,WP_011034302.1,WP_048166245.1,WP_232316066.1,WP_054298857.1,WP_048124845.1,WP_048147160.1,WP_011011375.1,WP_010885968.1,WP_068320193.1,WP_013906068.1,WP_048111729.1,WP_077075840.1,WP_009886754.1,WP_011177235.1,WP_010901833.1,*,*,*,*,*,WP_010879550.1,WP_012940513.1,WP_015590167.1,WP_013683974.1,WP_012966309.1,39,18,3,3,23787.35,3703.7475333333327,DUF373 family protein
6,"WP_048114462.1,WP_048115979.1,WP_048116680.1","WP_179360226.1,WP_179360339.1,WP_179360866.1,WP_179361537.1","WP_012214407.1,WP_148680318.1","WP_014964821.1,WP_179362229.1,WP_179363399.1","WP_012214407.1,WP_014962921.1,WP_148704147.1",WP_011008099.1,WP_011901428.1,WP_011849269.1,WP_014287321.1,WP_012350053.1,WP_071907948.1,WP_039377083.1,"WP_048186669.1,WP_048186786.1",WP_048188185.1,WP_048199818.1,*,WP_015791578.1,WP_013100347.1,*,*,"WP_015762946.1,WP_015763627.1","WP_004518753.1,WP_004591831.1","WP_004518753.1,WP_004591831.1","WP_004518753.1,WP_004591831.1",WP_011019226.1,WP_011033712.1,WP_048167864.1,WP_011306400.1,WP_048142134.1,WP_048124450.1,WP_010867803.1,WP_011012524.1,WP_010885561.1,WP_068323946.1,"WP_013904799.1,WP_013905065.1",*,WP_021788675.1,WP_009887474.1,WP_011178139.1,WP_010901349.1,*,*,*,*,*,WP_048095629.1,WP_012939458.1,WP_015591553.1,WP_013684523.1,WP_012965883.1,57,41,5,5,13713.99,2407.7230609756098,transcription initiation factor IIB
7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_015763977.1,WP_004591241.1,WP_004591241.1,WP_004591241.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,19,1,1,6680.689,1694.0880947368423,transcription initiation factor IIB
8,WP_048116513.1,WP_179360174.1,WP_012215067.1,WP_179362061.1,WP_148703568.1,WP_011008102.1,WP_011901300.1,WP_011849266.1,WP_014287324.1,WP_012350056.1,WP_071907358.1,WP_048084837.1,WP_013644138.1,WP_013826364.1,WP_100905768.1,WP_048201352.1,WP_048056378.1,WP_048203457.1,WP_064496792.1,WP_012819614.1,WP_015762900.1,WP_011223606.1,WP_004957033.1,WP_101350459.1,WP_011019567.1,WP_011032996.1,WP_048167544.1,WP_048122359.1,WP_054299598.1,WP_048128151.1,WP_010867623.1,WP_011012904.1,WP_010885738.1,WP_068323457.1,WP_013905266.1,WP_048112357.1,WP_021789284.1,WP_009886703.1,WP_011177037.1,WP_010901889.1,*,*,*,*,*,WP_048064535.1,WP_012939569.1,WP_015590287.1,WP_013683914.1,WP_012966927.1,45,16,3,3,3428.529,1319.70201875,GTP-binding protein
9,WP_048115350.1,WP_179360486.1,WP_012215762.1,WP_179362373.1,WP_148703951.1,WP_011008104.1,WP_011901298.1,WP_011849264.1,WP_014287326.1,WP_012350057.1,*,*,*,*,*,*,*,*,*,*,WP_015762466.1,WP_004963830.1,WP_004963830.1,WP_101349358.1,*,"WP_011032952.1,WP_011033435.1","WP_048167387.1,WP_048167738.1","WP_048117085.1,WP_048122884.1","WP_054298335.1,WP_054299765.1","WP_048128068.1,WP_048128484.1",*,WP_011011315.1,*,*,*,WP_048111546.1,WP_021789281.1,WP_009886390.1,WP_011176969.1,*,*,*,*,*,*,WP_048095230.1,WP_012939654.1,WP_015590038.1,WP_013683979.1,WP_012965373.1,34,13,1,1,8323.257,2046.499715384616,NADP-dependent isocitrate dehydrogenase
